"ticker","exp_return","sigma"
"ETIHX",0.00194297221202812,0.0654396711718275
"VHCIX",0.00536354501961069,0.0402267243969899
"CHGCY",0.0018242637959864,0.090597524198995
"TAK",-0.00288938948640257,0.0541937410017178
"D",-0.00101460750718564,0.0625688207238043
"EIX",0.00281931235884682,0.0846488859125894
"AES",-0.00375340979420937,0.115499675846661
"NRG",0.0290667904144006,0.111291186851872
"AMD",0.0160280313407765,0.153281882405784
"AVGO",0.0372950474276532,0.0999905161304199
"TXN",0.00186829480296137,0.0745198546194953
"CRM",-0.000271336696104508,0.0946152851466904
"CRWD",0.0206125908327321,0.147339074435172
"ORCL",0.0233752991482575,0.103106502022774
"FTNT",0.019797966092037,0.107289636585162
"IBM",0.0191504130997968,0.0710510784317865
"CSCO",0.0120756101297546,0.0637693832601133
"AKAM",-0.0031634672169274,0.0782887475396797
"SMCI",0.0423337759474171,0.220784854183206
"APO",0.019989787932117,0.101621752317339
"CME",0.0112209577354004,0.048659094714571
"CBOE",0.0181805312680457,0.044339675982494
"V",0.00780281561885432,0.0579319323866139
"PYPL",-0.0207403710731764,0.115915669017898
"FI",-0.0102452814081626,0.116217795190578
"VRSK",0.00163311007845489,0.0733500181088251
"ROST",0.00727739746662893,0.079061860271448
"ULTA",0.0105901072353297,0.0883775488489324
"AZO",0.0200481875224841,0.0623018361744712
"CMG",0.00307124538919989,0.0945426222937356
"NKE",-0.0115436563828658,0.0945317492350725
"CROX",0.00336860652747014,0.132872118226541
"LVS",0.00307041034221958,0.109130435440659
"TSLA",0.0123579369024748,0.171406176048366
"GM",0.00818594542761219,0.0981834602479833
"LYV",0.0118214554044036,0.0961094899061106
