"target_return","exp_return","sigma"
-0.0289785997409737,-0.0289785997409737,0.0522218731718925
-0.0277244259779935,-0.0277244259779935,0.0508061786111294
-0.0264702522150133,-0.0264702522150133,0.0494014263629176
-0.0252160784520331,-0.0252160784520331,0.0480085769676169
-0.0239619046890529,-0.0239619046890529,0.0466286970905304
-0.0227077309260728,-0.0227077309260727,0.0452629729072817
-0.0214535571630926,-0.0214535571630925,0.043912725201133
-0.0201993834001124,-0.0201993834001124,0.0425794263337959
-0.0189452096371322,-0.0189452096371322,0.0412647192330218
-0.017691035874152,-0.017691035874152,0.0399704385012863
-0.0164368621111718,-0.0164368621111718,0.0386986336804044
-0.0151826883481916,-0.0151826883481916,0.0374515945937576
-0.0139285145852114,-0.0139285145852114,0.0362318785138206
-0.0126743408222312,-0.0126743408222312,0.0350423386463483
-0.011420167059251,-0.011420167059251,0.0338861530585945
-0.0101659932962708,-0.0101659932962708,0.0327668526800432
-0.0089118195332906,-0.0089118195332906,0.0316883463459495
-0.00765764577031041,-0.0076576457703104,0.0306549400238537
-0.00640347200733021,-0.00640347200733021,0.0296713463754397
-0.00514929824435002,-0.00514929824435001,0.0287426797243506
-0.00389512448136982,-0.00389512448136982,0.0278744304673998
-0.00264095071838963,-0.00264095071838962,0.0270724122339928
-0.00138677695540943,-0.00138677695540942,0.0263426750462554
-0.000132603192429238,-0.000132603192429233,0.0256913788489057
0.00112157057055096,0.00112157057055096,0.0251246245715915
0.00237574433353115,0.00237574433353116,0.0246482446983324
0.00362991809651135,0.00362991809651135,0.0242675620467807
0.00488409185949154,0.00488409185949154,0.0239871332764017
0.00613826562247174,0.00613826562247174,0.0238105008785073
0.00739243938545193,0.00739243938545194,0.0237399817921363
0.00864661314843213,0.00864661314843214,0.0237765202045328
0.00990078691141232,0.00990078691141233,0.0239196255138366
0.0111549606743925,0.0111549606743925,0.0241674047127083
0.0124091344373727,0.0124091344373727,0.0245166843295237
0.0136633082003529,0.0136633082003529,0.0249632042137868
0.0149174819633331,0.0149174819633331,0.0255018570473792
0.0161716557263133,0.0161716557263133,0.0261269450041663
0.0174258294892935,0.0174258294892935,0.0268324279888445
0.0186800032522737,0.0186800032522737,0.0276121444738063
0.0199341770152539,0.0199341770152539,0.0284599938026733
0.0211883507782341,0.0211883507782341,0.0293700760331683
0.0224425245412143,0.0224425245412143,0.0303367908533516
0.0236966983041945,0.0236966983041945,0.0313549005181955
0.0249508720671747,0.0249508720671747,0.0324195633510371
0.0262050458301549,0.0262050458301549,0.0335263446170009
0.0274592195931351,0.0274592195931351,0.034671211011788
0.0287133933561153,0.0287133933561153,0.0358505140382949
0.0299675671190954,0.0299675671190954,0.037060966457124
0.0312217408820756,0.0312217408820756,0.0382996149693725
0.0324759146450558,0.0324759146450558,0.0395638114064901
0.033730088408036,0.033730088408036,0.0408511839896286
0.0349842621710162,0.0349842621710162,0.0421596096737231
0.0362384359339964,0.0362384359339964,0.0434871881876365
0.0374926096969766,0.0374926096969766,0.0448322180940579
0.0387467834599568,0.0387467834599568,0.0461931749952247
0.040000957222937,0.040000957222937,0.0475686918801197
0.0412551309859172,0.0412551309859172,0.0489575415270427
0.0425093047488974,0.0425093047488974,0.050358620828002
0.0437634785118776,0.0437634785118776,0.0517709368774111
0.0450176522748578,0.0450176522748578,0.053193594659238
