"ticker","bl_excess","bl_total","sample_mean"
"ETIHX",-0.00261284536278065,-0.00231284536278065,0.00194297221202812
"VHCIX",0.0023780432713325,0.0026780432713325,0.00536354501961069
"CHGCY",-0.0022912759025631,-0.00199127590256311,0.0018242637959864
"TAK",-0.00733164356822946,-0.00703164356822946,-0.00288938948640257
"D",-0.00680564072064049,-0.00650564072064049,-0.00101460750718564
"EIX",-0.00705309759696281,-0.00675309759696281,0.00281931235884682
"AES",-0.0139139646260974,-0.0136139646260974,-0.00375340979420937
"NRG",0.0254294805024815,0.0257294805024815,0.0290667904144006
"AMD",0.0100290660297842,0.0103290660297842,0.0160280313407765
"AVGO",0.0326863726549993,0.0329863726549993,0.0372950474276532
"TXN",-0.00634835775663832,-0.00604835775663832,0.00186829480296137
"CRM",-0.00202911660966596,-0.00172911660966596,-0.000271336696104508
"CRWD",0.0244495375204523,0.0247495375204523,0.0206125908327321
"ORCL",0.0225165982369874,0.0228165982369874,0.0233752991482575
"FTNT",0.0252404663626785,0.0255404663626785,0.019797966092037
"IBM",0.0191789372593789,0.0194789372593789,0.0191504130997968
"CSCO",0.0109020316663961,0.0112020316663961,0.0120756101297546
"AKAM",-0.0055656703242118,-0.0052656703242118,-0.0031634672169274
"SMCI",0.0447176522748578,0.0450176522748578,0.0423337759474171
"APO",0.0138595115733841,0.0141595115733841,0.019989787932117
"CME",0.00974444445272389,0.0100444444527239,0.0112209577354004
"CBOE",0.0140176717523754,0.0143176717523754,0.0181805312680457
"V",0.00472996026353015,0.00502996026353015,0.00780281561885432
"PYPL",-0.0292785997409737,-0.0289785997409737,-0.0207403710731764
"FI",-0.0163683929669093,-0.0160683929669093,-0.0102452814081626
"VRSK",-0.000179399573430195,0.000120600426569805,0.00163311007845489
"ROST",0.00393066401518332,0.00423066401518332,0.00727739746662893
"ULTA",0.00642023318727961,0.00672023318727961,0.0105901072353297
"AZO",0.0142238654762768,0.0145238654762768,0.0200481875224841
"CMG",-0.00499841717151529,-0.00469841717151529,0.00307124538919989
"NKE",-0.0173749072413024,-0.0170749072413024,-0.0115436563828658
"CROX",-0.00645475430680681,-0.00615475430680681,0.00336860652747014
"LVS",-0.00338437271794292,-0.00308437271794292,0.00307041034221958
"TSLA",0.00728710941118824,0.00758710941118824,0.0123579369024748
"GM",0.0029597613826876,0.0032597613826876,0.00818594542761219
"LYV",0.00786305586804726,0.00816305586804726,0.0118214554044036
